,volume,surface,mean breadth,euler
51,1265514,308209.918,2425.774,-233
52,1606397,340638.759,-2055.548,-1023
53,1352550,315194.82,1414.943,-741
54,1321614,311548.903,1974.604,-358
55,1450943,328255.263,436.679,-849
56,1289719,312049.024,1764.894,-132
57,1291643,307469.092,1182.064,-290.5
58,1662536,338674.965,-2465.263,-1156
59,1520409,374612.166,-1784.839,-1737.5
60,1412703,322907.749,1247.5,-522.5
61,1491642,319464.563,480.048,-1102
62,1385554,307100.233,1466.95,-605.5
63,2097152,90681.042,177.273,1
64,1487125,343321.58,50.227,-650
65,1674069,312016.063,-459.359,-1376.5
66,1500649,352134.447,-572.055,-1196
67,2068818,142477.066,-4949.575,1356
68,1430040,330493.632,1038.526,-809
69,1990157,231717.462,-8058.429,-29.5
70,1677922,347639.293,-2376.093,-1766
71,1331579,329314.006,1675.564,-235.5
72,1468172,348835.694,50.961,-926
73,1420168,314510.312,887.347,-819
74,1323302,301899.801,1848.343,-140
75,1367518,318474.576,1033.853,-557
76,1362646,314770.779,1511.095,-732.5
77,2097152,90681.042,177.273,1
78,2075024,134632.615,-4498.834,1433
79,1794985,331591.784,-4250.678,-1746.5
80,1532870,307011.362,129.906,-1039.5
81,1320447,307845.359,1700.384,-597.5
82,1710273,294900.838,-1514.269,-1125
83,1424004,323122.948,1139.563,-901
84,1937898,248270.867,-6219.304,-341
85,1293765,306897.855,1665.569,-209
86,1489580,394568.847,-1981.602,-1717.5
87,1343666,323369.423,1658.371,-533.5
88,1550245,376157.072,-1541.973,-1530.5
89,1711479,347706.775,-2586.412,-1171
90,1272654,319934.958,1894.3,-188
91,1669548,366151.352,-3002.422,-1914.5
92,1620383,340687.839,-1131.228,-1192.5
93,1554721,308913.977,904.804,-889.5
94,1417631,331432.739,1047.906,-1084.5
95,1265517,310923.502,1829.999,-196.5
96,1359922,314787.092,1533.955,-235.5
97,1474164,326732.617,550.897,-1064
98,1636332,362176.803,-1830.271,-1389
